id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,parsed_data,dimensions
30584,,HOTEL SASKATCHEWAN,,,,25.5X16CM,,,1937-0059_wotm,1937-03-12T00:00:00Z,Hotel Saskatchewan,Canadian Dollars,C$,complete,1,106.0,25.5X16CM,25.5X16CM
30585,,PALLISTER HOTEL,,,,25.5X16.5CM,,,1937-0060_wotm,1937-03-18T00:00:00Z,Palliser Hotel,Canadian Dollars,C$,complete,1,91.0,25.5X16.5CM,25.5X16.5CM
30586,,PALLISTER HOTEL,,,,25.5X16.5CM,,,1937-0061_wotm,1937-03-18T00:00:00Z,Palliser Hotel,Canadian Dollars,C$,complete,1,92.0,25.5X16.5CM,25.5X16.5CM
30587,,HOTEL SASKATCHEWAN,,,,28X17CM,,,1937-0062_wotm,1937-01-01T00:00:00Z,Hotel Saskatchewan,Canadian Dollars,C$,complete,1,6.0,28X17CM,28X17CM
30588,,PALLISTER HOTEL,,,,28X18CM FOLDED; 28X36CM OPEN,,,1937-0063_wotm,1937-01-01T00:00:00Z,Palliser Hotel,Canadian Dollars,C$,complete,9,488.0,28X36CM OPEN,28X36CM OPEN
30589,,PALLISTER HOTEL,,,,25X16.5CM FOLDED; 25X33CM OPEN,,,1937-0064_wotm,1937-01-01T00:00:00Z,Palliser Hotel,Canadian Dollars,C$,complete,5,351.0,25X33CM OPEN,25X33CM OPEN
30590,,PALLISTER HOTEL,,,,28X18CM FOLDED; 28X36CM OPEN,,,1937-0065_wotm,1937-03-18T00:00:00Z,Palliser Hotel,Canadian Dollars,C$,complete,8,493.0,28X36CM OPEN,28X36CM OPEN
30591,,PALLISTER HOTEL,,,,28X18CM FOLDED; 28X36CM OPEN,,,1937-0066_wotm,1937-03-18T00:00:00Z,Palliser Hotel,Canadian Dollars,C$,complete,8,501.0,28X36CM OPEN,28X36CM OPEN
30592,,CANADIAN PACIFIC,,,,18X15CM FOLDED; 18X45CM OPEN,,dining car service,1937-0067_wotm,1937-04-03T00:00:00Z,Canadian Pacific,Canadian Dollars,C$,complete,6,174.0,18X45CM OPEN,18X45CM OPEN
30593,,CANADIAN PACIFIC,,,,24X17CM FOLDED; 24X34CM OPEN,,dining car service,1937-0068_wotm,1937-04-03T00:00:00Z,Canadian Pacific,Canadian Dollars,C$,complete,4,142.0,24X34CM OPEN,24X34CM OPEN
30594,,CANADIAN PACIFIC,,,,24X17CM FOLDED; 24X34CM OPEN,,dining car service,1937-0069_wotm,1937-04-03T00:00:00Z,Canadian Pacific,Dollars,$,complete,4,152.0,24X34CM OPEN,24X34CM OPEN
30595,,WALDORF ASTORIA,,,,16.5X11.5CM FOLDED; 16.5X23CM OPEN,,Folding Paper Box Manufacturers Association,1937-0070_wotm,1937-04-03T00:00:00Z,Waldorf Astoria,,,complete,5,18.0,16.5X23CM OPEN,16.5X23CM OPEN
30596,,WALDORF ASTORIA,,,,18X13CM FOLDED; 18X26CM OPEN,,Brooklyn Woman's Club,1937-0071_wotm,1937-04-07T00:00:00Z,Waldorf Astoria,,,complete,5,9.0,18X26CM OPEN,18X26CM OPEN
30597,,WALDORF ASTORIA,,,,22X15.5CM FOLDED; 22X31CM OPEN,,The Pan American Society,1937-0072_wotm,1937-04-08T00:00:00Z,Waldorf Astoria,,,complete,3,14.0,22X31CM OPEN,22X31CM OPEN
30598,,WALDORF ASTORIA,,,,18X13CM FOLDED; 18X26CM OPEN,,New York University,1937-0073_wotm,1937-04-10T00:00:00Z,Waldorf Astoria,,,complete,4,8.0,18X26CM OPEN,18X26CM OPEN
30599,,WALDORF ASTORIA,,,,23X15.5CM FOLDED; 23X31CM OPEN,,Electrolux,1937-0074_wotm,1937-04-12T00:00:00Z,Waldorf Astoria,,,complete,11,15.0,23X31CM OPEN,23X31CM OPEN
30600,,WALDORF ASTORIA,,,,22X16CM FOLDED; 22X32CM OPEN,,United Brewers Industrial Foundation,1937-0075_wotm,1937-04-14T00:00:00Z,Waldorf Astoria,,,complete,4,10.0,22X32CM OPEN,22X32CM OPEN
30601,,WALDORF ASTORIA,,,,17.5X10CM,,Democratic Organization,1937-0076_wotm,1937-04-21T00:00:00Z,Waldorf Astoria,,,complete,1,13.0,17.5X10CM,17.5X10CM
30602,,WALDORF ASTORIA,,,,18X13CM,,The Associated Press,1937-0077_wotm,1937-04-19T00:00:00Z,Waldorf Astoria,,,complete,1,11.0,18X13CM,18X13CM
30603,,WALDORF ASTORIA,,,,19X14CM FOLDED; 19X28CM OPEN,,Italy America Society and The American Society of the Royal Italian Orders,1937-0078_wotm,1937-04-21T00:00:00Z,Waldorf Astoria,,,complete,3,7.0,19X28CM OPEN,19X28CM OPEN
30604,,WALDORF ASTORIA,,,,17.5X10CM FOLDED; 17.5X20CM OPEN,,American Newspaper Publishers Association,1937-0079_wotm,1937-04-22T00:00:00Z,Waldorf Astoria,,,complete,7,15.0,17.5X20CM OPEN,17.5X20CM OPEN
30605,,MAYES OYSTER HOUSE,,,,28.5X17CM FOLDED; 28.5X34CM OPEN,,,1937-0080_wotm,1937-04-23T00:00:00Z,Mayes Oyster House,Dollars,$,complete,3,374.0,28.5X34CM OPEN,28.5X34CM OPEN
30606,,WALDORF ASTORIA,,,,18X14CM FOLDED; 18X28CM OPEN,,Interborough Association of Women Teachers,1937-0081_wotm,1937-04-24T00:00:00Z,Waldorf Astoria,,,complete,4,15.0,18X28CM OPEN,18X28CM OPEN
30607,,WALDORF ASTORIA,,,,23X16.5CM FOLDED; 23X33CM OPEN,,Grover Cleaveland Democratic Club,1937-0082_wotm,1937-04-24T00:00:00Z,Waldorf Astoria,,,complete,3,15.0,23X33CM OPEN,23X33CM OPEN
30608,,WALDORF ASTORIA,,,,27X18.5CM FOLDED; 27X37CM OPEN,,Sydenham Hospital,1937-0083_wotm,1937-04-25T00:00:00Z,Waldorf Astoria,,,complete,50,12.0,27X37CM OPEN,27X37CM OPEN
30609,,WALDORF ASTORIA,,,,14X11CM FOLDED; 14X22CM OPEN,,The Pennsylvania Society,1937-0084_wotm,1937-04-27T00:00:00Z,Waldorf Astoria,,,complete,2,14.0,14X22CM OPEN,14X22CM OPEN
30610,,JACKSON HEIGHTS CLUB HOUSE,,,,16.5X12.5CM FOLDED; 16.5X25CM OPEN,,The Salon of Seven Arts,1937-0085_wotm,1937-04-28T00:00:00Z,Jackson Heights Club House,,,complete,5,14.0,16.5X25CM OPEN,16.5X25CM OPEN
30611,,WALDORF ASTORIA,,,,21.5X17CM FOLDED; 21.5X34CM OPEN,,The Clinical Society of the New York Polyclinic Medical School and Hospital,1937-0086_wotm,1937-04-28T00:00:00Z,Waldorf Astoria,,,complete,3,16.0,21.5X34CM OPEN,21.5X34CM OPEN
30612,,WALDORF ASTORIA,,,,16X11.5CM FOLDED; 16X23CM OPEN,,Controllers Institute of America,1937-0087_wotm,1937-04-29T00:00:00Z,Waldorf Astoria,,,complete,3,12.0,16X23CM OPEN,16X23CM OPEN
30613,,WALDORF ASTORIA,,,,23X16CM FOLDED; 23X32CM OPEN,,National Association of Mutual Savings Banks,1937-0088_wotm,1937-04-29T00:00:00Z,Waldorf Astoria,,,complete,3,14.0,23X32CM OPEN,23X32CM OPEN
30614,,"R.M.S. ""QUEEN MARY""""""",,,,27X21.5CM FOLDED; 27X23CM OPEN,,,1937-0089_wotm,1937-05-05T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,100.0,27X23CM OPEN,27X23CM OPEN
30615,,"R.M.S. ""QUEEN MARY""""""",,,,27X21.5CM FOLDED; 27X23CM OPEN,,,1937-0090_wotm,1937-05-07T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,113.0,27X23CM OPEN,27X23CM OPEN
30616,,"R.M.S. ""QUEEN MARY""""""",,,,27X21.5CM FOLDED; 27X23CM OPEN,,,1937-0091_wotm,1937-05-07T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,83.0,27X23CM OPEN,27X23CM OPEN
30617,,"R.M.S. ""QUEEN MARY""""""",,,,27X21.5CM FOLDED; 27X23CM OPEN,,,1937-0092_wotm,1937-05-08T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,110.0,27X23CM OPEN,27X23CM OPEN
30618,,WALDORF ASTORIA,,,,27X21CM FOLDED; 27X42CM OPEN,,English-Speaking Union of the United States,1937-0093_wotm,1937-05-12T00:00:00Z,Waldorf Astoria,,,complete,5,15.0,27X42CM OPEN,27X42CM OPEN
30619,,HOTEL NEW YORKER,,,,28.5X22.5CM FOLDED; 28.5X45CM OPEN,,room service,1937-0094_wotm,1937-05-13T00:00:00Z,Hotel New Yorker,Dollars,$,complete,3,190.0,28.5X45CM OPEN,28.5X45CM OPEN
30620,,WALDORF ASTORIA,,,,21.5X11.5CM FOLDED; 21.5X23CM OPEN,,National Council of Jewish Women,1937-0095_wotm,1937-05-01T00:00:00Z,Waldorf Astoria,Dollars,$,complete,4,95.0,21.5X23CM OPEN,21.5X23CM OPEN
30621,,THE ROOSEVELT,,,,18X14CM FOLDED; 18X28CM OPEN,,National Society Daughters of the Revolution,1937-0096_wotm,1937-05-19T00:00:00Z,The Roosevelt,,,complete,5,10.0,18X28CM OPEN,18X28CM OPEN
30622,,TINY'S,,,,31X14CM FOLDED; 31X28CM OPEN,,,1937-0097_wotm,1937-05-15T00:00:00Z,Tiny's,Dollars,$,complete,4,331.0,31X28CM OPEN,31X28CM OPEN
30623,,SHERMAN SQUARE HOTEL,,,,25.5X20.5CM FOLDED; 25.5X41CM OPEN,,,1937-0098_wotm,1937-05-31T00:00:00Z,Sherman Square Hotel,Dollars,$,complete,3,234.0,25.5X41CM OPEN,25.5X41CM OPEN
30624,,[RESTAURANT NAME AND/OR LOCATION NOT GIVEN],,,,14X9CM,,,1937-0145_wotm,1937-06-17T00:00:00Z,[restaurant Name And/or Location Not Given],,,complete,1,10.0,14X9CM,14X9CM
30625,,EL BARRIO LATINO,,,,20X13CM FOLDED; 20X26CM OPEN,,Big Game Celebration,1937-0180_wotm,1937-03-20T00:00:00Z,El Barrio Latino,Dollars,$,complete,2,47.0,20X26CM OPEN,20X26CM OPEN
30626,,THE CONNAUGHT ROOMS,,,,18.5X11.5CM FOLDED; 18.5X23CM OPEN,,International Shorthand Congress,1937-0153_wotm,1937-07-23T00:00:00Z,The Connaught Rooms,,,complete,4,14.0,18.5X23CM OPEN,18.5X23CM OPEN
30627,,THE CONNAUGHT ROOMS,,,,17X10.5CM FOLDED; 17X21CM OPEN,,International Shorthand Congress,1937-0154_wotm,1937-07-24T00:00:00Z,The Connaught Rooms,,,complete,3,7.0,17X21CM OPEN,17X21CM OPEN
30628,,THE LOTOS CLUB,,,,21X14.5CM FOLDED; 21X29CM OPEN,,,1937-0185_wotm,1937-11-14T00:00:00Z,The Lotos Club,,,complete,9,11.0,21X29CM OPEN,21X29CM OPEN
30629,,THE TOWN HALL CLUB,,,,16.5X13CM FOLDED; 16.5X26CM OPEN,,The Clerical Union for the Maintenance and Defence of Catholic Principles,1937-0187_wotm,1937-11-30T00:00:00Z,The Town Hall Club,,,complete,4,10.0,16.5X26CM OPEN,16.5X26CM OPEN
30630,,BDS,,,,22X14CM FOLDED; 22X28CM OPEN,,,1937-0147_wotm,1937-07-19T00:00:00Z,Bds,,,complete,3,14.0,22X28CM OPEN,22X28CM OPEN
30631,,BDS,,,,22X14CM FOLDED; 22X28CM OPEN,,,1937-0148_wotm,1937-07-20T00:00:00Z,Bds,,,complete,3,11.0,22X28CM OPEN,22X28CM OPEN
30632,,BDS,,,,22X14CM FOLDED; 22X28CM OPEN,,,1937-0149_wotm,1937-07-24T00:00:00Z,Bds,,,complete,3,12.0,22X28CM OPEN,22X28CM OPEN
30633,,BDS,,,,22X14CM FOLDED; 22X28CM OPEN,,,1937-0150_wotm,1937-07-26T00:00:00Z,Bds,,,complete,3,15.0,22X28CM OPEN,22X28CM OPEN
30634,,CARLTON HOTEL,,,,24X17CM FOLDED; 24X34CM OPEN,,Arthur H. Rumpf Menu Collection,1937-0181_wotm,1937-12-27T00:00:00Z,Carlton Hotel,,,complete,2,8.0,24X34CM OPEN,24X34CM OPEN
30635,,EATON'S,,,,19X12.5CM,,Thanksgiving Menu,1937-0182_wotm,1937-11-01T00:00:00Z,Eaton's,Canadian Dollars,C$,complete,1,19.0,19X12.5CM,19X12.5CM
30636,,JONATHAN CLUB,,,,19X14CM FOLDED; 19X28CM OPEN,,,1937-0174_wotm,1937-08-19T00:00:00Z,Jonathan Club,,,under review,4,9.0,19X28CM OPEN,19X28CM OPEN
30637,,MERCHANT TAYLOR'S HALL,,,,18X11.5CM FOLDED; 18X23CM OPEN,,Pitman Centenary Dinner,1937-0152_wotm,1937-07-22T00:00:00Z,Merchant Taylor's Hall,,,complete,4,10.0,18X23CM OPEN,18X23CM OPEN
30638,,"PAQUEBOT ""NORMANDIE""""""",,,,29X22.5CM FOLDED; 29X45CM OPEN,,French line,1937-0124_wotm,1937-07-04T00:00:00Z,"Paquebot ""normandie""""""",,,complete,3,10.0,29X45CM OPEN,29X45CM OPEN
30639,,"PAQUEBOT ""NORMANDIE""""""",,,,29X22.5CM FOLDED; 29X45CM OPEN,,French line,1937-0125_wotm,1937-06-12T00:00:00Z,"Paquebot ""normandie""""""",,,complete,3,10.0,29X45CM OPEN,29X45CM OPEN
30640,,"R.M.S. ""QUEEN MARY""""""",,,,19X14CM FOLDED; 19X28CM OPEN,,,1937-0115_wotm,1937-06-09T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,23.0,19X28CM OPEN,19X28CM OPEN
30641,,"R.M.S. ""QUEEN MARY""""""",,,,19X14CM FOLDED; 19X28CM OPEN,,,1937-0116_wotm,1937-06-10T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,24.0,19X28CM OPEN,19X28CM OPEN
30642,,"R.M.S. ""QUEEN MARY""""""",,,,19X14CM FOLDED; 19X28CM OPEN,,,1937-0117_wotm,1937-06-10T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,24.0,19X28CM OPEN,19X28CM OPEN
30643,,"R.M.S. ""QUEEN MARY""""""",,,,19X14CM FOLDED; 19X28CM OPEN,,,1937-0118_wotm,1937-06-11T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,27.0,19X28CM OPEN,19X28CM OPEN
30644,,"R.M.S. ""QUEEN MARY""""""",,,,19X14CM FOLDED; 19X28CM OPEN,,,1937-0119_wotm,1937-06-11T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,27.0,19X28CM OPEN,19X28CM OPEN
30645,,"R.M.S. ""QUEEN MARY""""""",,,,19X14CM FOLDED; 19X28CM OPEN,,,1937-0120_wotm,1937-06-12T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,25.0,19X28CM OPEN,19X28CM OPEN
30646,,"R.M.S. ""QUEEN MARY""""""",,,,19X14CM FOLDED; 19X28CM OPEN,,,1937-0121_wotm,1937-06-12T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,25.0,19X28CM OPEN,19X28CM OPEN
30647,,"R.M.S. ""QUEEN MARY""""""",,,,19X14CM FOLDED; 19X28CM OPEN,,,1937-0122_wotm,1937-06-13T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,23.0,19X28CM OPEN,19X28CM OPEN
30648,,"R.M.S. ""QUEEN MARY""""""",,,,20.5X15CM FOLDED; 41X30CM OPEN,,,1937-0123_wotm,1937-06-13T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,2,25.0,41X30CM OPEN,41X30CM OPEN
30649,,"R.M.S. ""QUEEN MARY""""""",,,,27X17.5CM,,,1937-0126_wotm,1937-06-11T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,1,36.0,27X17.5CM,27X17.5CM
30650,,"R.M.S. ""QUEEN MARY""""""",,,,27X17.5CM,,,1937-0127_wotm,1937-06-12T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,1,37.0,27X17.5CM,27X17.5CM
30651,,"R.M.S. ""QUEEN MARY""""""",,,,27X17.5CM,,,1937-0128_wotm,1937-06-13T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,1,38.0,27X17.5CM,27X17.5CM
30652,,"R.M.S. ""QUEEN MARY""""""",,,,15X13CM FOLDED; 15X26CM OPEN,,,1937-0169_wotm,1937-08-07T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,3,9.0,15X26CM OPEN,15X26CM OPEN
30653,,"R.M.S. ""QUEEN MARY""""""",,,,16X13CM FOLDED; 16X26CM OPEN,,,1937-0170_wotm,1937-08-08T00:00:00Z,"R.M.S. ""queen Mary""""""",,,complete,3,8.0,16X26CM OPEN,16X26CM OPEN
30654,,"S.S. ""BREMEN""""""",,,,20X13CM FOLDED; 20X26CM OPEN,,Menu also contains English text,1937-0156_wotm,1937-08-05T00:00:00Z,"S.S. ""bremen""""""",,,complete,3,62.0,20X26CM OPEN,20X26CM OPEN
30655,,"S.S. ""BREMEN""""""",,,,20X13CM FOLDED; 20X26CM OPEN,,Menu also contains English text,1937-0157_wotm,1937-08-06T00:00:00Z,"S.S. ""bremen""""""",,,complete,3,66.0,20X26CM OPEN,20X26CM OPEN
30656,,"S.S. ""BREMEN""""""",,,,20X13CM FOLDED; 20X26CM OPEN,,Menu also contains English text,1937-0158_wotm,1937-08-06T00:00:00Z,"S.S. ""bremen""""""",,,complete,3,50.0,20X26CM OPEN,20X26CM OPEN
30657,,"S.S. ""BREMEN""""""",,,,25.5X15.5CM FOLDED; 25.5X31CM OPEN,,Menu also contains English text,1937-0163_wotm,1937-08-08T00:00:00Z,"S.S. ""bremen""""""",,,complete,4,61.0,25.5X31CM OPEN,25.5X31CM OPEN
30658,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0131_wotm,1937-06-11T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,102.0,27X42CM OPEN,27X42CM OPEN
30659,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0132_wotm,1937-06-12T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,103.0,27X42CM OPEN,27X42CM OPEN
30660,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0133_wotm,1937-06-12T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,98.0,27X42CM OPEN,27X42CM OPEN
30661,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0134_wotm,1937-06-13T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,114.0,27X42CM OPEN,27X42CM OPEN
30662,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0135_wotm,1937-06-13T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,99.0,27X42CM OPEN,27X42CM OPEN
30663,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0136_wotm,1937-06-19T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,102.0,27X42CM OPEN,27X42CM OPEN
30664,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0137_wotm,1937-06-14T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,120.0,27X42CM OPEN,27X42CM OPEN
30665,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0138_wotm,1937-06-15T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,115.0,27X42CM OPEN,27X42CM OPEN
30666,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0139_wotm,1937-06-15T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,100.0,27X42CM OPEN,27X42CM OPEN
30667,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0140_wotm,1937-06-16T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,110.0,27X42CM OPEN,27X42CM OPEN
30668,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0141_wotm,1937-06-17T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,4,12.0,27X42CM OPEN,27X42CM OPEN
30669,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0142_wotm,1937-06-19T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,100.0,27X42CM OPEN,27X42CM OPEN
30670,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0143_wotm,1937-07-30T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,4,11.0,27X42CM OPEN,27X42CM OPEN
30671,,"S.S. ""DE GRASSE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0144_wotm,1937-07-25T00:00:00Z,"S.S. ""de Grasse""""""",,,complete,2,100.0,27X42CM OPEN,27X42CM OPEN
30672,,"S.S. ""EUROPA""""""",,,,20X13CM FOLDED; 20X26CM OPEN,,Menu also contains English text,1937-0159_wotm,1937-09-08T00:00:00Z,"S.S. ""europa""""""",,,complete,3,58.0,20X26CM OPEN,20X26CM OPEN
30673,,"S.S. ""EUROPA""""""",,,,21X14.5CM FOLDED; 21X29CM OPEN,,Menu also contains English text,1937-0160_wotm,1937-09-05T00:00:00Z,"S.S. ""europa""""""",,,complete,3,48.0,21X29CM OPEN,21X29CM OPEN
30674,,"S.S. ""EUROPA""""""",,,,21X14.5CM FOLDED; 21X29CM OPEN,,Menu also contains English text,1937-0161_wotm,1937-09-07T00:00:00Z,"S.S. ""europa""""""",,,complete,3,52.0,21X29CM OPEN,21X29CM OPEN
30675,,"S.S. ""EUROPA""""""",,,,21X14.5CM FOLDED; 21X29CM OPEN,,Menu also contains English text,1937-0162_wotm,1937-09-08T00:00:00Z,"S.S. ""europa""""""",,,complete,3,46.0,21X29CM OPEN,21X29CM OPEN
30676,,"S.S. ""EUROPA""""""",,,,25.5X15.5CM FOLDED; 25.5X31CM OPEN,,Menu also contains English text,1937-0164_wotm,1937-09-09T00:00:00Z,"S.S. ""europa""""""",,,complete,4,52.0,25.5X31CM OPEN,25.5X31CM OPEN
30677,,"S.S. ""NORMANDIE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0129_wotm,1937-06-09T00:00:00Z,"S.S. ""normandie""""""",,,complete,3,119.0,27X42CM OPEN,27X42CM OPEN
30678,,"S.S. ""NORMANDIE""""""",,,,27X21CM FOLDED; 27X42CM OPEN,,French line,1937-0130_wotm,1937-06-10T00:00:00Z,"S.S. ""normandie""""""",Canadian Dollars,C$,complete,3,119.0,27X42CM OPEN,27X42CM OPEN
30679,,"S.S. ""PASTORES""""""",,,,16.5X12CM FOLDED; 16.5X24CM OPEN,,,1937-0155_wotm,1937-07-30T00:00:00Z,"S.S. ""pastores""""""",,,complete,6,33.0,16.5X24CM OPEN,16.5X24CM OPEN
30680,,"S.S. ""PASTORES""""""",,,,16.5X12CM FOLDED; 16.5X24CM OPEN,,,1937-0165_wotm,1937-08-06T00:00:00Z,"S.S. ""pastores""""""",,,complete,4,12.0,16.5X24CM OPEN,16.5X24CM OPEN
30681,,"S.S. ""PASTORES""""""",,,,16.5X12CM FOLDED; 16.5X24CM OPEN,,Pirates Dinner,1937-0166_wotm,1937-08-11T00:00:00Z,"S.S. ""pastores""""""",,,complete,6,14.0,16.5X24CM OPEN,16.5X24CM OPEN
30682,,"S.S. ""PASTORES""""""",,,,25X16.5CM FOLDED; 25X33CM OPEN,,,1937-0167_wotm,1937-08-14T00:00:00Z,"S.S. ""pastores""""""",,,complete,5,39.0,25X33CM OPEN,25X33CM OPEN
30683,,S.S. MANHATTAN,,,,23X15.5CM FOLDED; 23X31CM OPEN,,New year's Cruise to Havana,1937-0189_wotm,1937-12-31T00:00:00Z,S.S. Manhattan,,,complete,4,19.0,23X31CM OPEN,23X31CM OPEN
30684,,S.S. MANHATTAN,,,,23X15.5CM FOLDED; 23X31CM OPEN,,New year's Cruise to Havana,1937-0190_wotm,1937-12-27T00:00:00Z,S.S. Manhattan,,,complete,4,18.0,23X31CM OPEN,23X31CM OPEN
30685,,S.S. MANHATTAN,,,,25.5X18CM FOLDED; 25.5X36CM OPEN,,New year's Cruise to Havana,1937-0191_wotm,1937-12-28T00:00:00Z,S.S. Manhattan,,,complete,3,104.0,25.5X36CM OPEN,25.5X36CM OPEN
30686,,S.S. MANHATTAN,,,,25.5X18CM FOLDED; 25.5X36CM OPEN,,New year's Cruise to Havana,1937-0192_wotm,1937-12-28T00:00:00Z,S.S. Manhattan,,,complete,3,105.0,25.5X36CM OPEN,25.5X36CM OPEN
30687,,S.S. MANHATTAN,,,,25.5X18CM FOLDED; 25.5X36CM OPEN,,New year's Cruise to Havana,1937-0193_wotm,1937-12-29T00:00:00Z,S.S. Manhattan,,,complete,3,108.0,25.5X36CM OPEN,25.5X36CM OPEN
30688,,S.S. MANHATTAN,,,,25.5X18CM FOLDED; 25.5X36CM OPEN,,New year's Cruise to Havana,1937-0194_wotm,1937-12-29T00:00:00Z,S.S. Manhattan,,,complete,3,104.0,25.5X36CM OPEN,25.5X36CM OPEN
30689,,S.S. MANHATTAN,,,,25.5X18CM FOLDED; 25.5X36CM OPEN,,New year's Cruise to Havana,1937-0195_wotm,1937-12-30T00:00:00Z,S.S. Manhattan,,,complete,3,100.0,25.5X36CM OPEN,25.5X36CM OPEN
30690,,S.S. MANHATTAN,,,,25.5X18CM FOLDED; 25.5X36CM OPEN,,New year's Cruise to Havana,1937-0196_wotm,1937-12-30T00:00:00Z,S.S. Manhattan,,,complete,3,101.0,25.5X36CM OPEN,25.5X36CM OPEN
30691,,S.S. MANHATTAN,,,,25.5X18CM FOLDED; 25.5X36CM OPEN,,New year's Cruise to Havana,1937-0197_wotm,1937-12-31T00:00:00Z,S.S. Manhattan,,,complete,3,106.0,25.5X36CM OPEN,25.5X36CM OPEN
30692,,STEAMSHIP YUCATAN,,,,22X15CM FOLDED; 22X30CM OPEN,,,1937-0168_wotm,1937-08-16T00:00:00Z,Steamship Yucatan,,,complete,5,45.0,22X30CM OPEN,22X30CM OPEN
30693,,STOUFFER'S,,,,22.5X14.5CM FOLDED; 22.5X29CM OPEN,,,1937-0186_wotm,1937-12-29T00:00:00Z,Stouffer's,Dollars,$,complete,3,57.0,22.5X29CM OPEN,22.5X29CM OPEN
30694,,TORTOLA,,,,23X18CM FOLDED; 23X43.5CM OPEN,,,1937-0183_wotm,1937-12-09T00:00:00Z,Tortola,Dollars,$,complete,3,231.0,23X43.5CM OPEN,23X43.5CM OPEN
30695,,TWIN GRILL,,,,25.5X16.5CM FOLDED; 25.5X33CM OPEN,,,1937-0107_wotm,1937-01-01T00:00:00Z,Twin Grill,Dollars,$,complete,25,451.0,25.5X33CM OPEN,25.5X33CM OPEN
30697,,WALDORF ASTORIA,,,,20X10.5CM FOLDED; 20X32CM OPEN,,"Dinner in honor of  William Freeman Snow, M.D.",1937-0100_wotm,1937-10-01T00:00:00Z,Waldorf Astoria,,,complete,2,16.0,20X32CM OPEN,20X32CM OPEN
30698,,WALDORF ASTORIA,,,,21.5X14CM FOLDED; 21.5X28CM OPEN,,GMAC GEIC Convention,1937-0101_wotm,1937-10-06T00:00:00Z,Waldorf Astoria,,,complete,2,28.0,21.5X28CM OPEN,21.5X28CM OPEN
